ReactionTime Block1;Stimuli Onset Time Block1;Stimuli Offset Time Block1;Fixation Cross Onset Time Block1;Fixation Cross Offset Time Block1;Blank Screen Onset Time Block1;Blank Screen Offset Time Block1;Feedback Onset Time Block1;Feedback Offset Time Block1;Stimuli On Screen Time Block1;Presented Condition Block1;Answers Block1;Answer Codes Block1;Distractor Modality Block1
0,7999992;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Neutral;Correct;1;audio visual
0,5800071;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Congruent;Correct;1;visual
0,6200142;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Congruent;Incorrect;2;audio visual
1,040024;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Incongruent;Correct;1;visual
0,5400124;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Congruent;Correct;1;audio visual
1,060024;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Incongruent;Correct;1;visual
0,5800133;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Neutral;Correct;1;visual
0,480011;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Congruent;Correct;1;audio
0,9400215;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Incongruent;Incorrect;2;audio
0,08000183;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Incongruent;Incorrect;2;visual
0;68,22057;68,42053;67,22073;68,22057;68,42053;73,41969;73,41969;73,91961;0,1999664;Congruent;None;0;audio
0,4799194;74,93944;75,1394;73,93961;74,93944;75,1394;80,13857;80,13857;80,63848;0,1999664;Congruent;Incorrect;2;audio
0,4999161;81,65831;81,85828;80,65848;81,65831;81,85828;86,85744;86,85744;87,35735;0,1999664;Incongruent;Correct;1;visual
0,4799194;88,37718;88,57715;87,37735;88,37718;88,57715;93,57631;93,57631;94,07623;0,1999664;Neutral;Correct;1;visual
0,4799194;95,09605;95,29602;94,09622;95,09605;95,29602;100,2952;100,2952;100,7951;0,1999664;Congruent;Incorrect;2;audio
0,4999161;101,8149;102,0149;100,8151;101,8149;102,0149;107,0141;107,0141;107,514;0,1999664;Incongruent;Incorrect;2;audio
0,3799362;108,5338;108,7338;107,534;108,5338;108,7338;113,7329;113,7329;114,2328;0,1999664;Incongruent;Incorrect;2;audio
0,7198792;115,2527;115,4526;114,2528;115,2527;115,4526;120,4518;120,4518;120,9517;0,1999664;Incongruent;Correct;1;audio
0,5998993;121,9715;122,1715;120,9717;121,9715;122,1715;127,1707;127,1707;127,6706;0,1999664;Neutral;Incorrect;2;audio
0,7801666;128,6907;128,8907;127,6906;128,6907;128,8907;133,8918;133,8918;134,3919;0,2000427;Congruent;Incorrect;2;visual
1,820389;135,4121;135,6122;134,4119;135,4121;135,6122;140,6132;140,6132;141,1133;0,2000427;Incongruent;Correct;1;audio visual
0,880188;142,1335;142,3336;141,1333;142,1335;142,3336;147,3347;147,3347;147,8348;0,2000427;Neutral;Incorrect;2;audio
1,140244;148,855;149,055;147,8548;148,855;149,055;154,0561;154,0561;154,5562;0,2000427;Neutral;Incorrect;2;visual
1,140244;155,5764;155,7765;154,5762;155,5764;155,7765;160,7775;160,7775;161,2776;0,2000427;Congruent;Correct;1;visual
0,4801025;162,2979;162,4979;161,2976;162,2979;162,4979;167,499;167,499;167,9991;0,2000427;Neutral;Incorrect;2;audio visual
0,4801025;169,0193;169,2193;168,0191;169,0193;169,2193;174,2204;174,2204;174,7205;0,2000427;Neutral;Correct;1;audio visual
0,440094;175,7407;175,9408;174,7405;175,7407;175,9408;180,9418;180,9418;181,4419;0,2000427;Neutral;Incorrect;2;audio visual
